epoch,IoU_Score
1.0,0.18822461867050505
2.0,0.23042589378741912
3.0,0.3004326903668217
4.0,0.3331793113206366
5.0,0.3730944776978023
6.0,0.3451725399097224
7.0,0.3810780655630063
8.0,0.39521084767144227
9.0,0.4271263603637233
10.0,0.4314207725077697
11.0,0.4539030221670836
12.0,0.4543189592500871
13.0,0.46834780007897436
14.0,0.4884009520030079
15.0,0.47497182362376733
16.0,0.5007054651622145
17.0,0.48802208575824074
18.0,0.48726285942503217
19.0,0.5034401432920044
20.0,0.4869958414098683
21.0,0.5108768029038971
22.0,0.5153840227132231
23.0,0.5196757239916076
24.0,0.5144321345782229
25.0,0.49870664612520926
26.0,0.5219344050605457
27.0,0.5229389982636669
28.0,0.5177017631362837
29.0,0.5213509325331588
30.0,0.5278221706006542
31.0,0.5294831040970255
32.0,0.5258524405155101
33.0,0.5174418681076028
34.0,0.5135611086694732
35.0,0.5222186495278741
36.0,0.5257631383684821
37.0,0.5234369788499288
38.0,0.5206853635039773
39.0,0.5242952562355001
