epoch,loss_val
1.0,0.810856282711029
2.0,0.7708774549620492
3.0,0.716576167515346
4.0,0.6814617940357753
5.0,0.6416129895618984
6.0,0.6392407757895333
7.0,0.5974555696759906
8.0,0.5741378835269383
9.0,0.5337379489626203
10.0,0.5241418140275138
11.0,0.495521570955004
12.0,0.4895677992275783
13.0,0.4607644762311663
14.0,0.44439011812210083
15.0,0.4381260360990252
16.0,0.4170175279889788
17.0,0.4261744107518877
18.0,0.4145675557000296
19.0,0.4015138830457415
20.0,0.3951057962008885
21.0,0.3802250794001988
22.0,0.3773725628852844
23.0,0.37181035961423603
24.0,0.373110260282244
25.0,0.36534541845321655
26.0,0.3638971107346671
27.0,0.3600282073020935
28.0,0.35661634377070833
29.0,0.3544839790889195
30.0,0.3524901441165379
31.0,0.3486725517681667
32.0,0.3461387923785618
33.0,0.3446124281202044
34.0,0.34435114690235685
35.0,0.34231311082839966
36.0,0.3408635514123099
37.0,0.3399590935025896
38.0,0.3388894966670445
39.0,0.3383387327194214
