epoch,IoU_Score
1.0,0.06683104317874693
2.0,0.1170548610119882
3.0,0.19215606049833542
4.0,0.2372774270255728
5.0,0.3101890735889537
6.0,0.3612583403994027
7.0,0.3973609051132568
8.0,0.43440570912978127
9.0,0.4739253570324418
10.0,0.4982824231420916
11.0,0.5286543328471708
12.0,0.5501111976336771
13.0,0.5613347366802582
14.0,0.5840414935009998
15.0,0.5917787077292895
16.0,0.6019701666638286
17.0,0.6110876268209942
18.0,0.6159956760230195
19.0,0.6259947422101656
20.0,0.637794774227569
21.0,0.645481957464481
22.0,0.6490563261949207
23.0,0.6537982624614702
24.0,0.6587622494218311
25.0,0.6640218269540522
26.0,0.6682388477749301
27.0,0.6748223587763649
