epoch,loss_val
1.0,0.8660994705400968
2.0,0.8287223985320643
3.0,0.7995682860675611
4.0,0.7733693091492904
5.0,0.7350511864611977
6.0,0.6872185939236691
7.0,0.6300380606400339
8.0,0.5682068969074049
9.0,0.523455422175558
10.0,0.4829919526451512
11.0,0.4408532412428605
12.0,0.40403451103913157
13.0,0.37678876048640203
14.0,0.34576863991586787
15.0,0.3319397631444429
16.0,0.3165743256870069
17.0,0.3037733090551276
18.0,0.29355322059832123
19.0,0.28101765795757894
20.0,0.26765277511195135
21.0,0.2597223488908065
22.0,0.2547726693906282
23.0,0.24869387714486374
24.0,0.24213767051696777
25.0,0.23524826451351769
26.0,0.22927433252334595
27.0,0.2250311343293441
