epoch,IoU_Score
1.0,0.0535861741626768
2.0,0.05472258207730989
3.0,0.2275294884381682
4.0,0.3880075315454247
5.0,0.40934946999798877
6.0,0.423161295206929
7.0,0.4245487704002569
8.0,0.42106398821997454
9.0,0.41764153021708195
10.0,0.448674349726444
11.0,0.4580095133381598
12.0,0.4712734682678164
13.0,0.4783588298002757
14.0,0.4924669691413931
15.0,0.49784192164696145
16.0,0.5071364952252995
17.0,0.5142228791018617
18.0,0.5006189735202756
19.0,0.5283147013604991
20.0,0.5404564729346009
21.0,0.5072645059225636
22.0,0.5141464927620689
23.0,0.5418496589800119
24.0,0.5605752750860177
25.0,0.5643748879265823
26.0,0.5722761166829563
27.0,0.5923480433597558
28.0,0.5977255823185621
29.0,0.5987055608571206
30.0,0.570900912334962
31.0,0.586408736952373
32.0,0.6016574877571693
33.0,0.60179635237855
34.0,0.6103819766847869
35.0,0.6251799433307447
36.0,0.6342608440955317
37.0,0.6335481396884791
38.0,0.6433958551011411
39.0,0.6507207679647931
40.0,0.6627353353337849
41.0,0.6634526350194688
42.0,0.6658827359912359
43.0,0.6690939393819644
44.0,0.6806042009850014
45.0,0.6834990857205219
46.0,0.6907119747669244
47.0,0.6813702270529508
48.0,0.6896484655608585
49.0,0.6901768508894183
50.0,0.7028187604739852
51.0,0.7204577393114056
52.0,0.7193249575429319
53.0,0.695969107230583
54.0,0.6826500976141715
55.0,0.7057727038583259
56.0,0.7204414365300915
57.0,0.7187114066344956
58.0,0.7230760465001933
59.0,0.6998578512794985
60.0,0.7065799413456343
61.0,0.717725964142783
62.0,0.7229597940053946
63.0,0.7356098712771885
64.0,0.7370054459026487
65.0,0.7432900206203022
66.0,0.7472270294718683
67.0,0.7510800989106257
68.0,0.7524066873821285
69.0,0.7478167820429796
70.0,0.7512071826470971
71.0,0.7522780461853329
72.0,0.7575950928852416
73.0,0.7645757237663083
74.0,0.765510846092613
75.0,0.766398295448055
76.0,0.7589254557102888
77.0,0.7693535683882889
78.0,0.774841143298285
79.0,0.7875329220204726
80.0,0.787849142642389
81.0,0.7840439441134992
82.0,0.7821245943138113
83.0,0.7790763440278168
84.0,0.7756464642713002
85.0,0.7813095906636012
86.0,0.7811841177984921
87.0,0.7896392440724104
88.0,0.7903592309079602
89.0,0.7857209180228412
90.0,0.794062110821402
91.0,0.8022828846999593
92.0,0.8027747298945852
93.0,0.803950043396208
94.0,0.803041289313377
95.0,0.8113789363569159
96.0,0.8046188984343395
97.0,0.8075109250971906
98.0,0.8129380234623486
99.0,0.8187263120318666
100.0,0.8152312065458626
101.0,0.8172049468766415
102.0,0.8165738690500717
103.0,0.807317019632865
104.0,0.8116344277373977
105.0,0.8133700036159955
106.0,0.8197366402301878
107.0,0.8229273344931581
108.0,0.8188580329283183
109.0,0.8160709325093872
110.0,0.8204109077733447
111.0,0.8177970870985782
112.0,0.8176334731933655
113.0,0.8183934805775193
114.0,0.8136068304950577
115.0,0.8250358903844742
116.0,0.8319368195553435
117.0,0.8252806758882465
118.0,0.8288778473310129
119.0,0.826335510361485
120.0,0.8156453393292518
121.0,0.817133865765073
122.0,0.8183185078536063
123.0,0.822661201810491
124.0,0.8169438586752669
125.0,0.8184744497694032
126.0,0.8184778984059037
127.0,0.8123487964216922
128.0,0.8047874927191412
129.0,0.8070020490121199
130.0,0.8076929485289462
131.0,0.8045780328204554
132.0,0.8064394423266568
133.0,0.8162104065034498
134.0,0.8005674854547601
135.0,0.7800214324746889
136.0,0.781326380653083
137.0,0.8028984458687181
138.0,0.8119132223044581
139.0,0.8011576256918015
140.0,0.772277269113575
141.0,0.787083056741996
142.0,0.7936951538414562
143.0,0.8019861634124871
144.0,0.8115421448829707
145.0,0.8090672984089814
146.0,0.810556379659532
147.0,0.8180301915311801
148.0,0.8271727166856722
149.0,0.8261544602155816
150.0,0.8171311427409641
151.0,0.8163025844956996
152.0,0.8082837665984597
153.0,0.8082193655100415
154.0,0.821395406492911
155.0,0.8291953846626219
156.0,0.8213207133422742
157.0,0.8243990677695039
158.0,0.8316986179811778
159.0,0.8370604382639388
160.0,0.8498073433957928
161.0,0.8525719289547423
162.0,0.8487929288570707
163.0,0.8420248215825962
164.0,0.8343336567059921
165.0,0.8290050641494753
166.0,0.8387948013843919
167.0,0.833714571876898
168.0,0.8260516865546994
169.0,0.825744199127546
170.0,0.8288803201602918
171.0,0.8429403909750582
172.0,0.8425800971056532
173.0,0.8294605781577553
174.0,0.8226493298264493
175.0,0.8280579288796625
176.0,0.8377311375619878
177.0,0.8415416577846688
178.0,0.845590522495188
179.0,0.8439234312457716
180.0,0.8449315515233975
181.0,0.8514508969439679
182.0,0.8505396940926039
183.0,0.8532263396840172
184.0,0.8559150151434318
185.0,0.8532000763310336
186.0,0.8514906923427552
187.0,0.8574550401079725
188.0,0.8552177630669093
189.0,0.8534136873287764
190.0,0.853045773696088
191.0,0.85694300656445
192.0,0.8489677798867026
193.0,0.8347532148629788
194.0,0.8303798134017302
195.0,0.8411263616433365
196.0,0.842665406941054
197.0,0.8360184892532042
198.0,0.8399413413494884
199.0,0.8450960289289013
200.0,0.8519631113928328
